場所名稱,場所地址,場所經緯度X,場所經緯度Y,場所類型,場所網址,場所描述,AED放置地點,AED經緯度X,AED經緯度Y,AED地點描述,開放使用時間,開放使用時間緊急連絡電話,資料建立時間
慈濟學校財團法人慈濟技術學院,花蓮縣花蓮市建國路二段880號,121.565082,23.996643,大專院校,http://www.tccn.edu.tw/bin/home.php,,衛保組健康中心,121.565082,23.996643,鄰近校門口,"星期一至星期五 07:30 至 21:30
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:",03-8572158,2013-10-14 15:24:00.0
桃園市政府警察局桃園分局景福派出所,桃園市桃園區民族路110號,121.309039,24.992613,其他場所,,桃園區民族路110號,派出所1樓,121.309039,24.992613,派出所1樓書報區,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",03-3322762,2014-12-29 11:26:00.0
來吉衛生室,嘉義縣阿里山來吉村4鄰102號,120.739617,23.529868,其他場所,,,來吉衛生室,120.739617,23.529868,浴室出口處,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",0919870959,2014-07-25 11:54:00.0
高雄車站公車站,高雄市三民區建國二路318號,120.301849,22.638001,轉運站,,,公車服務中心內,120.301849,22.638001,高雄車站公車站(公車服務中心內),"星期一至星期五 00:00 至 00:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:開放使用時間為09:00-12:00及14:00-17:00",072299869,2014-06-11 18:20:00.0
長榮航空股份有限公司,桃園縣蘆竹鄉新南路一段376號,121.297197,25.040617,航空器,,,長榮客機,121.297197,25.040617,"A321-200: besides R3 door crew seatA330-200:FWD side wall of L2 doorA330-300:FWD side wall of L1 doorB747-COMBI: AFT side wall of L2 doorB747-400:FWD side wall of L2 doorB777A:Wall beside R2 door crew seatB777N: Wall beside R2 door crew seat","星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:依據班機時刻表",03-3516152,2014-07-29 17:27:00.0
國立成功大學光復校區,台南市東區大學路1號,120.214993,22.999607,大專院校,http://eps.gis.ncku.edu.tw/index.htm?cate=12,光復校區光二舍,光復校區光二舍門口,120.214993,22.999607,"光二舍門口外之牆邊。校安中心2381187、校內分機直播55555；駐警隊2752615、校內分機直播66666；駐警隊巡邏車備有1組自動體外心臟電擊去顫器(AED)。","星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:全日開放。",2381187、2752615,2014-05-16 15:04:00.0
臺北市政府警察局北投分局關渡派出所,台北市北投區關渡里大度路3段305號,121.465947,25.122997,其他場所,,,值班台右側,121.465947,25.122997,面對派出所內值班台右側,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:24小時開放。",02-28583864,2015-01-28 19:29:00.0
花蓮縣秀林鄉和平國民小學,花蓮縣秀林鄉和平村112號,121.749016,24.30806,國小,http://www.hpps.hlc.edu.tw,和平國小位處秀林鄉北界，隔和平溪與宜蘭縣相鄰。,保健室,121.749016,24.30806,AED設置處於和平國小新大樓1樓保健室。,"星期一至星期五 08:30 至 15:30
                星期六  至 
                星期日  至 
                備註:",(03)8681056,2015-05-11 10:56:00.0
花蓮縣水璉村活動中心水璉村辦公室,花蓮縣壽豐鄉水璉村水璉2街21號,121.561487,23.784327,其他場所,,,花蓮縣水璉村活動中心水璉村辦公室,121.561487,23.784327,花蓮縣水璉村活動中心水璉村辦公室,"星期一至星期五 08:00 至 17:30
                星期六  至 
                星期日  至 
                備註:",03-8652131,2014-01-02 20:08:00.0
新北市林口區瑞平國小,新北市林口區後坑路34-1號,121.369424,25.121003,國小,http://163.20.56.1/,,1樓川堂,121.369424,25.121003,1樓電梯旁,"星期一至星期五 08:00 至 16:00
                星期六  至 
                星期日  至 
                備註:",02-26052779,2015-01-20 11:35:00.0
雲林縣大埤鄉衛生所,雲林縣大卑鄉北和村中山路4號,120.432003,23.645492,其他場所,http:///203.65.42.172/yunlincounty6/pub/LIT_6.asp,,ㄧ樓候診區,120.432003,23.645492,進大門口左側掛號室旁之牆壁上,"星期一至星期五 08:00 至 17:30
                星期六  至 
                星期日  至 
                備註:",08:00-17:30,2014-08-25 12:01:00.0
輔仁大學中美堂,新北市新莊區中正路510號,121.431877,25.037998,大專院校,,,輔仁大學中美堂,121.431877,25.037998,輔仁大學體育館中美堂位於後校門口旁,"星期一至星期五 08:00 至 22:00
                星期六 08:00 至 18:00
                星期日  至 
                備註:",02-29052235,2014-05-21 16:06:00.0
新北市立石門國民中學,新北市石門區中央路1-9號,121.425799,24.962862,國中,http://http://www.smjh.ntpc.edu.tw/default.asp,,中央穿堂,121.425799,24.962862,位於本校中央穿堂明顯處,"星期一至星期五 06:00 至 22:00
                星期六 08:00 至 17:00
                星期日  至 
                備註:其餘時間由新光保全監控中",02-26381273,2014-10-13 14:59:00.0
台灣電力公司花蓮區營業處,花蓮縣花蓮市中山路238號,121.607459,23.979712,其他場所,http://branch.taipower.com.tw/d112,,花蓮市中山路238號,121.607459,23.979712,服務中心入口志工台旁,"星期一至星期五 08:00 至 17:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:",03-8230322#372,2014-05-26 16:57:00.0
台灣家樂福股份有限公司 台中沙鹿分公司,台中市沙鹿區光華路336號,120.565216,24.242412,商場,,,家樂福沙鹿店收銀線,120.565216,24.242412,家樂福沙鹿店收銀線1號機台,"星期一至星期五 09:00 至 23:00
                星期六 09:00 至 23:00
                星期日 09:00 至 23:00
                備註:",04-26652300,2014-04-11 19:14:00.0
嘉義縣鹿草鄉立殯儀館,嘉義縣鹿草鄉豐稠村5鄰海豐52號,120.284327,23.426724,殯儀館,http://www.lucao-fp.gov.tw/01/P01S01.aspx?OP=1,,殯儀館辦公室旁,120.284327,23.426724,進入殯儀館辦公室門口旁,"星期一至星期五 08:00 至 17:00
                星期六 08:00 至 17:00
                星期日 08:00 至 17:00
                備註:",05-3751744,2014-01-17 17:18:00.0
羅氏大藥廠股份有限公司,台北市松山區民生東路3段134號9樓,121.546833,25.057459,其他場所,,,11樓電梯出口正對面,121.546813,25.05744,11F電梯及辦公室出入口的空間,"星期一至星期五 08:30 至 17:30
                星期六  至 
                星期日  至 
                備註:",02-27153111,2014-08-18 16:47:00.0
新北市政府警察局樹林分局彭厝派出所,新北市樹林區國凱街65號,121.422168,24.97993,其他場所,,因警察局內部配置資訊較為敏感，不便提供完整平面圖,1樓入口,121.422168,24.97993,大門左側,"星期一至星期五 08:00 至 08:00
                星期六 08:00 至 08:00
                星期日 08:00 至 08:00
                備註:全年無休",02-8686-8077,2014-07-01 16:07:00.0
高雄市立中正高級中學,高雄市苓雅區中正一路8號,120.338815,22.626162,高中職,http://www.cchs.kh.edu.tw/,,高雄市立中正高級中學圖書館,120.338815,22.626162,進入圖書館大門右側,"星期一至星期五 08:30 至 17:30
                星期六  至 
                星期日  至 
                備註:",07-7491992,2015-01-22 15:39:00.0
苗栗縣私立君毅高級中學,苗栗縣竹南鎮公義路245號,120.883054,24.701016,高中職,http://163.19.239.12/front/bin/home.phtml,本校將AED設置於華興街大門旁的守衛室裡。,本校守衛室,120.883057,24.700838,本校將AED設置於華興街大門旁的守衛室裡。,"星期一至星期五 08:00 至 17:00
                星期六 08:00 至 16:00
                星期日  至 
                備註:本校於平日有護理人員可以協助處理，假日或其他非屬上班日，建議還是請受過訓練的專業人員或救護人員從旁協助。",037-622009*83,2014-08-07 17:46:00.0
彰化汽車客運股份有限公司彰化站,彰化縣彰化市長樂里中正路一段563號一樓,120.539524,24.081516,其他場所,,,彰化客運彰化站站長室,120.539524,24.081516,站長室位於本公司服務台正後方,"星期一至星期五 05:45 至 23:00
                星期六 05:45 至 23:00
                星期日 05:45 至 23:00
                備註:",04-7224603,2013-10-17 17:25:00.0
彰化縣立信義國民中小學,彰化縣彰化市向陽街168號,120.52814,24.062722,國中,http://www.hyjhes.chc.edu.tw/map.htm,彰化縣立信義國民中小學健康中心門口,健康中心門口,120.528881,24.063072,彰化縣立信義國民中小學健康中心門口,"星期一至星期五 08:00 至 21:00
                星期六 08:00 至 21:00
                星期日 08:00 至 21:00
                備註:",04-7635888#666,2015-03-24 10:09:00.0
太洋新技股份有限公司,新竹縣湖口鄉光復路62號,121.017606,24.860497,其他場所,,,辦公大樓,121.017606,24.860497,辦公大樓/一樓大廳,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",全天開放/0926-222151,2016-07-14 10:32:00.0
新北市八里區下庄市民活動中心,新北市八里區舊城路19號3樓,121.400151,25.146504,其他場所,,,新北市八里區下庄市民活動中心,121.400151,25.146504,新北市八里區下庄市民活動中心,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",02-26102621,2014-04-22 16:22:00.0
桃園縣立觀音國民中學,桃園縣觀音鄉白玉村下庄仔53-1號,121.080736,25.038912,國中,http://www.gijh.tyc.edu.tw/~gijh/main/main.htm,桃園縣立觀音國民中學,學校中央走廊,121.080736,25.038912,學校第一棟教學區一樓之中央走廊處。,"星期一至星期五 06:00 至 22:00
                星期六 06:00 至 22:00
                星期日 06:00 至 22:00
                備註:",03-4732034*515,2014-11-25 10:07:00.0
國立成功大學成杏校區,台南市東區大學路1號,120.220985,23.00215,大專院校,http://eps.gis.ncku.edu.tw/index.htm?cate=12,成杏校區(舊稱建國校區)醫學院大樓4樓。,醫學院大樓4樓簡易餐廳外,120.220985,23.00215,"放置於醫學院大樓4樓簡易餐廳外穿廊樓梯口旁之柱壁邊。(靠近置物櫃/廁所處)校安中心2381187、校內分機直播55555；駐警隊2752615、校內分機直播66666；駐警隊巡邏車備有1組自動體外心臟電擊去顫器(AED)。","星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:全日開放。",2381187、2752615,2014-05-19 16:47:00.0
苗栗縣苗栗市福星國民小學,苗栗縣苗栗市中華東街62號,120.826339,24.578817,國小,,,保健室外走廊,120.826339,24.578817,保健室外走廊,"星期一至星期五 07:30 至 15:30
                星期六  至 
                星期日  至 
                備註:除國定假日",037-264724,2013-12-27 16:27:00.0
中山工商職校,高雄市大寮區正氣路79號,120.393226,22.600462,高中職,,,博愛大樓3樓,120.393237,22.600566,導師室外,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",07-7815311*236,2013-11-07 12:42:00.0
新北市立新店高級中學,新北市新店區中央路93號,121.531764,24.97556,高中職,http://www.htsh.ntpc.edu.tw/,設置於校內大門川堂,校內川堂,121.531764,24.97556,設置於校內川堂,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",22193700,2014-08-26 13:05:00.0
伸適開發股份有限公司,台北市中山區林森北路477號,121.525722,25.060814,旅館,http://www.hotelsense.com.tw/,公司位於林森北路與錦州街口附近,1F大廳,121.525944,25.060901,旅館大廳櫃檯旁,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",02-77431000,2014-04-22 13:17:00.0
慈濟台中靜思堂,台中市南屯區台中市南屯區文心南路113號,120.608483,24.147118,其他場所,http://ttz021485@tzuchi.org.tw,,1F,120.608483,24.147118,服務台,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:全日開放",40510777,2016-04-01 11:55:00.0
桃園縣蘆竹鄉錦興國民小學,桃園縣蘆竹鄉南竹路一段100號,121.283333,25.033333,國小,,,川堂,121.283333,25.033333,川堂,"星期一至星期五 06:00 至 23:59
                星期六  至 
                星期日  至 
                備註:",03-3228487-420,2014-05-22 11:14:00.0
永豐棧酒店生活會館,台中市西屯區台灣大道二段703號,120.655439,24.158978,飯店,http://www.tempus.com.tw,健身房俱樂部,2樓,120.655261,24.158394,2樓出入口,"星期一至星期五 06:00 至 23:00
                星期六 06:00 至 23:00
                星期日 06:00 至 23:00
                備註:",04-23230778,2015-01-13 14:01:00.0
墾丁國家公園管理處鵝鑾鼻公園管理站,屏東縣恆春鎮鵝鑾里燈塔路301號,120.850657,21.904045,國家公園,http://www.ktnp.gov.tw/cht/theme.aspx?type=2&themeTourID=15,鵝鑾鼻公園以燈塔馳名中外，因缺乏配合性遊樂設施，觀賞燈塔外景及攝影留念，別無遊樂場所，有鑒於此，前觀光局墾丁風景特定區管理處特就銅像對側景緻天成之珊瑚礁林加以闢建為一公園，於71年12月25日正式對外開放至今。,鵝鑾鼻公園管理站,120.850657,21.904045,鵝鑾鼻公園管理站辦公室,"星期一至星期五 08:00 至 17:00
                星期六 08:00 至 17:00
                星期日 08:00 至 17:00
                備註:",08-8851101,2016-08-11 15:10:00.0
桃園縣三光國小,桃園縣復興鄉三光村六鄰七號,121.367407,24.67339,國小,http://www. skes.tyc.edu.tw,三光國小辦公室出入口,三光國小辦公室出入口,121.367407,24.67339,三光國小辦公室出入口,"星期一至星期五 08:00 至 16:00
                星期六 08:00 至 16:00
                星期日 08:00 至 16:00
                備註:聯絡警衛",03-3912230,2014-12-04 14:24:00.0
臺灣南投地方法院,南投縣南投市中興路759號,120.688721,23.900815,其他場所,http://ntd.judicial.gov.tw/,在南投市，南投縣政府旁,臺灣南投地方法院暨檢察署一樓大廳,120.688721,23.900815,置於臺灣南投地方法院暨檢察署一樓大廳,"星期一至星期五 08:30 至 17:30
                星期六 08:30 至 17:30
                星期日 08:30 至 17:30
                備註:非上班日僅有值班法警在場",049-2242590,2015-11-04 11:34:00.0
高雄市政府社會局長青綜合服務中心,高雄市苓雅區四維二路51號,120.320377,22.622092,其他場所,http://senior.kcg.gov.tw/index.php,,高雄市苓雅區四維二路51號3樓,120.320377,22.622092,高雄市政府社會局長青綜合服務中心3樓大廳處,"星期一至星期五 08:00 至 17:30
                星期六 08:00 至 17:30
                星期日  至 
                備註:國定假日休假",07-7710055,2013-11-13 18:40:00.0
中國科技大學新竹校區,新竹縣湖口鄉中山路三段530號,121.055058,24.919272,大專院校,http://ccnt1.cute.edu.tw/hc/,北湖火車站附近,健心館游泳池,121.055058,24.919272,健心館地下1樓(B1)，游泳池入口之大門旁1公尺處,"星期一至星期五 08:00 至 20:00
                星期六  至 
                星期日  至 
                備註:",(03)6991111分機1515,2013-12-02 09:41:00.0
長源汽車小港營業所,高雄市小港區大業北路19號,120.347282,22.563588,其他場所,http://www.cymotor.com.tw/,,顧客休息室,120.347282,22.563588,顧客休息室,"星期一至星期五 08:30 至 20:30
                星期六 08:30 至 17:30
                星期日  至 
                備註:",07-80134688,2014-09-19 17:19:00.0
彰化縣立萬興國民中學,彰化縣二林鎮萬興里二溪路六段626號,120.41617,23.956215,國中,http://web.whjh.chc.edu.tw,AED設置於彰化縣立萬興國中大門口進入直走約30公尺第二棟大樓一樓健康中心門口。,健康中心門口,120.415477,23.956092,AED設置於彰化縣立萬興國中大門口進入直走約30公尺第二棟大樓一樓健康中心門外。,"星期一至星期五 07:00 至 20:30
                星期六 07:00 至 20:30
                星期日 07:00 至 20:30
                備註:全日開放",04-8682978,2015-02-02 11:03:00.0
國立台灣大學,台北市大安區羅斯福路四段1號,121.54447,25.020192,大專院校,,羅斯福路與新生南路交叉口,國青宿舍,121.54447,25.020192,國青大樓櫃台之後方,"星期一至星期五 08:30 至 17:30
                星期六  至 
                星期日  至 
                備註:",33669669,2013-11-15 15:44:00.0
雲林縣古坑鄉農會永光辦事處,雲林縣古坑鄉永光村光昌路75號,120.552774,23.62536,其他場所,,本會永光辦事處位於雲212線 古坑鄉永光村光昌路75號 往華山方向右側,辦事處營業廳入口左側,120.552774,23.62536,本會永光辦事處營業廳入口左側  金融補摺機旁,"星期一至星期五 08:00 至 16:30
                星期六  至 
                星期日  至 
                備註:本場所AED僅於營業時間內 開放使用
時間為上午8點至下午4點30分",05-5821264,2014-09-16 16:08:00.0
家樂福股份有限公司中清分公司,台中市西屯區中清路208號,120.652467,24.20685,賣場,,,B1收銀線,120.652467,24.20685,賣場地下一樓 結帳處,"星期一至星期五 09:30 至 22:55
                星期六 09:00 至 23:55
                星期日 09:00 至 22:55
                備註:開店營業時間全天提供使用",04-24262555-889,2014-04-11 16:08:00.0
基隆市瑪陵國小,基隆市七堵區大成街1號,121.68875,25.110129,國小,,,健康中心,121.68875,25.110129,於健康中心內，左手邊牆上。,"星期一至星期五 08:00 至 17:00
                星期六 08:00 至 17:00
                星期日 08:00 至 17:00
                備註:",24565663,2016-01-08 11:04:00.0
福興鄉永豐國小,彰化縣彰化市福興鄉番社村80號,120.45459,24.025717,國小,http://163.23.103.193/school/web/index.php,本場所AED設置於本校健康中心外,永豐國小,120.455131,24.026029,設置於本校健康中心外,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:全年開放使用",04-7792748*15,2015-01-30 14:02:00.0
國立東華大學-涵星二莊學生宿舍,花蓮縣壽豐鄉大學路2段2號,121.538991,23.89343,大專院校,http://www.student.ndhu.edu.tw/files/13-1007-41112.php,,涵星二莊學生宿舍,121.538991,23.89343,進門左側管理室外,"星期一至星期五 00:00 至 00:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:全日供進入校園人士使用",03-8632995,2013-10-12 02:20:00.0
財政部國有財產署北區分署桃園辦事處,桃園縣桃園市三元街152號4樓,121.321363,25.003586,其他場所,,,4樓電梯旁,121.321363,25.003586,4樓電梯旁,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",033379156,2014-03-03 16:51:00.0
高雄市立美濃國民中學,高雄市美濃區合和里中正路一段191號,120.543709,22.893651,國中,,,行政大樓一樓川堂,120.543709,22.893651,健康中心與總務處之間,"星期一至星期五 08:00 至 16:00
                星期六  至 
                星期日  至 
                備註:",07-6816166#21,2016-07-01 09:59:00.0
基隆市安樂區武崙國民小學,基隆市安樂區武崙街203號,121.706148,25.139228,國小,http://www.wlps.kl.edu.tw/,,健康中心,121.706148,25.139228,健康中心裡面大門邊的牆壁中間柱子,"星期一至星期五 07:00 至 18:00
                星期六 08:00 至 17:00
                星期日 08:00 至 17:00
                備註:警衛上班時間",24310018,2015-12-30 14:51:00.0
台灣化學纖維股份有限公司(海豐廠),雲林縣麥寮鄉台塑工業園區23號,120.178331,23.760204,其他場所,http://www.fcfc.com.tw/PRE/TW/fcfchome.asp?div=6,直屬-麥寮儲運處海豐集中站,麥寮儲運處海豐集中站,120.178331,23.760204,aed放置於海豐集中站操作室，近南門、6道。,"星期一至星期五 00:00 至 00:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:24小時均有人員協助取用。",056813241,2016-03-15 17:53:00.0
玄奘大學,新竹市東區新竹市玄奘路48號,120.939415,24.773273,大專院校,http://www.hcu.edu.tw,,雲來會館,120.939415,24.773273,雲來會館入口處旁右側,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",03-5400333,2016-08-19 10:09:00.0
興南汽車客運股份有限公司,台南市新化區中山路211號,120.309619,23.03613,轉運站,,,大門口正前方,120.309619,23.03613,大門口進去就可看見,"星期一至星期五 05:30 至 21:30
                星期六 05:30 至 21:30
                星期日 05:30 至 21:30
                備註:",2653121,2013-12-25 17:12:00.0
慕戀商旅有限公司,台中市中區光復路42-3號,120.668764,24.120905,旅館,http://www.moonlake.com.tw/,,大門左側,120.668764,24.120905,大門右側,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:24H開放",095898529,2015-10-28 11:04:00.0
新北市政府警察局金山分局金山派出所,新北市金山區民生路65號,121.64134,25.220804,其他場所,,因警察局內部配置資訊較為敏感，不便提供完整平面圖,一樓,121.64134,25.220804,大門入口左方,"星期一至星期五 09:00 至 08:59
                星期六 09:00 至 08:59
                星期日 09:00 至 08:59
                備註:",02-8072-5454#4130,2014-04-18 15:27:00.0
北投溫泉博物館,台北市北投區中山路2號,121.507149,25.136692,其他場所,http://beitoumuseum.taipei.gov.tw/,"大正2年（西元1913年/民國2年）6月，台北州廳運用了公共衛生的經費5萬6千餘元，仿照日本靜岡縣伊豆山溫泉的方式，興建了北投溫泉公共浴場。 始建的規模為兩層，入口處在二樓，有涼亭、換鞋玄關，進入經樓梯下到一樓後有男女更衣室及個別的沐浴大池，重要的賓客在南側還設有獨立的浴室和休息間。浴場內最主要的是以服務男賓為主的大池，顯示當年泡湯的男女比例較為懸殊，圓拱列柱圍起的浴池與兩側牆上的鑲嵌彩色玻璃，提供了極為明亮華麗的沐浴氣氛。戰後，公共浴場因管理單位更迭，而終至荒廢，1998年10月31日在地方熱心居民的奔走下，經過臺北市政府的斥資整修，以「北投溫泉博物館」為定位，正式重新開放使用。開放時間：9:00~17:00 星期二至星期日休館時間：每逢星期一與國定假日(遇週六、日照常開館)費用簡介：免費參觀",1樓哺乳室旁,121.507149,25.136692,1樓哺乳室旁，靠近男女廁及逃生門。,"星期一至星期五 09:00 至 17:00
                星期六 09:00 至 17:00
                星期日 09:00 至 17:00
                備註:周一休館日不開放",2893-9982分機22,2014-04-03 16:20:00.0
國立清水高級中學,台中市清水區中山路90號,120.574415,24.265276,高中職,http://http://www.cshs.tc.edu.tw/,國立清水高級中學,國立清水高級中學弘道樓,120.574415,24.265276,國立清水高級中學弘道樓穿堂正下方(學務處旁),"星期一至星期五 00:00 至 00:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:全年開放",04-26222116,2013-10-17 09:17:00.0
大魯閣草衙道,高雄市前鎮區中山四路100號,120.329289,22.581029,商場,http://www.tarokopark.com.tw/index.html,大魯閣草衙道購物中心,大道東2F.WeSport服務中心,120.329289,22.581029,"大道東2F.WeSport服務中心手機充電座旁","星期一至星期五 11:00 至 22:00
                星期六 10:30 至 22:30
                星期日 10:30 至 22:00
                備註:週一至週四 11:00~22:00 
週五11:00~22:30 
週六10:30~22:30 
週日10:30~22:00
特殊營業時間除外",07-7969999,2016-05-08 10:20:00.0
彰化縣社頭鄉清水國民小學,彰化縣社頭鄉山腳路1段486號,120.610024,23.889036,國小,,,中廊,120.610024,23.889036,本校為開放之校園空間，自動體外心臟電擊去顫器(AED)置於辦公室外之中廊壁面上。,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",04-8731285,2015-06-01 12:54:00.0
桃園市觀音區樹林國民小學,桃園市觀音區樹林里新村路二段12號,121.128467,25.061942,國小,http://www.sles.tyc.edu.tw/xoops/,,人事主計室前,121.128467,25.061942,人事主計室前走廊,"星期一至星期五 06:00 至 18:00
                星期六 08:00 至 16:00
                星期日 08:00 至 16:00
                備註:",03-4830414,2016-02-03 09:43:00.0
國家表演藝術中心國家兩廳院,台北市中正區中山南路21-1號,121.517812,25.035168,演藝廳,,,戲劇院大廳,121.517812,25.035168,戲劇院靠四號門大廳,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:視節目演出時間開放使用",02-33939595,2015-01-12 14:37:00.0
臺南市新營區公所,台南市新營區中正路30號,120.316576,23.310277,其他場所,http://www.sych.gov.tw/,,1樓辦公廳舍內,120.316576,23.310277,放置在本所服務台旁北側樑柱前,"星期一至星期五 08:00 至 17:30
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:",06-6322015,2014-06-20 17:33:00.0
友達光電L6A廠,台中市西屯區中科路1號,120.616322,24.204385,其他場所,,場所位於台中科學園區-台中市西屯區中科路與科雅路交叉口,友達光電 台中-L6A 廠 F棟3樓門禁口出入口,120.616322,24.204385,F 棟 3F 無塵室人員進出口,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:工廠內部營運時間全年無休，但進入內部有人員出入管制，不對外開放",04-24608800#1119,2016-03-09 14:53:00.0
高雄市苓雅區福康國小,高雄市苓雅區漢陽街17號,120.329169,22.618923,國小,http://www.fkps.kh.edu.tw,福康國小保健中心,健康中心,120.329169,22.618923,健康中心前門入口處,"星期一至星期五 06:30 至 19:00
                星期六 08:00 至 16:30
                星期日 08:00 至 16:30
                備註:",7227134,2015-03-27 10:46:00.0
國立岡山農工職業學校,高雄市岡山區岡山路533號,120.288373,22.801454,高中職,http://www.ksvs.khc.edu.tw/,,運動器材室,120.288373,22.801454,司令台後方處,"星期一至星期五 08:00 至 17:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:非上班時間或例假日，若有需要請至勵學樓教官室內取用",07-6217131,2015-05-08 16:38:00.0
臺中市私立立人高級中學,台中市大里區中興路二段380號,120.690845,24.105696,高中職,,,保健室,120.690845,24.105696,立人樓一樓保健室,"星期一至星期五 07:00 至 17:30
                星期六  至 
                星期日  至 
                備註:",04-24834138-526,2016-08-31 13:07:00.0
新北市汐止區綜合運動場,新北市汐止區忠孝東路9號,121.665887,25.073886,運動中心,http://www.sportmaps.ntpc.edu.tw/content/map/map03.aspx?sid=139&cid=221&DType=0&,新北市汐止區綜合運動場主建物看台棟,新北市汐止運動場主建物看台棟,121.665887,25.073886,"新北市汐止區綜合運動場主建物看台棟(靠近管理員室旁,殘障冊所外)","星期一至星期五 05:00 至 22:00
                星期六 05:00 至 22:00
                星期日 05:00 至 22:00
                備註:",5:00~22:00,2014-06-19 13:16:00.0
交通部觀光局西拉雅國家風景區管理處嶺頂資訊站,台南市白河區關子嶺關嶺里2鄰28-3號,120.504317,23.336624,國家級風景區,,,交通部觀光局西拉雅國家風景區管理處嶺頂資訊站,120.504317,23.336624,"嶺頂資訊站服務台斜前方(播放導覽影片電視旁)","星期一至星期五 09:00 至 17:00
                星期六 09:00 至 17:00
                星期日 09:00 至 17:00
                備註:",06-6840337#233,2013-10-22 14:35:00.0
新北市萬里區公所,新北市萬里區瑪鋉路123號,121.689207,25.177442,其他場所,,,1樓,121.689207,25.177442,大門入口右手邊地方特產展示中心,"星期一至星期五 08:00 至 18:00
                星期六  至 
                星期日  至 
                備註:",02-24922064,2015-01-09 11:33:00.0
新北市新莊區新莊國民小學,新北市新莊區新北市新莊區中正路86號,121.455941,25.036931,國小,http://scps.ntpc.edu.tw,"在新莊國小校園近小操場孫鳳堂內,面對舞台左側出口處",孫鳳堂內舞台左側出口處,121.455941,25.036931,"在學校校園小操場孫鳳堂內,面對舞台左側出口處","星期一至星期五 07:00 至 18:00
                星期六 00:00 至 00:00
                星期日 00:00 至 00:00
                備註:如有活動隨時配合開放",29931201轉826,2016-07-26 16:55:00.0
耕莘健康管理專科學校,宜蘭縣三星鄉尚武村健富路2段407號,121.661525,24.674069,大專院校,,中餐教室,中餐教室外,121.661525,24.674069,中餐教室外面,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:",9891178*7532,2015-11-26 11:19:00.0
Curves女性專用30分鐘健身中心台大公館店,台北市中正區羅斯福路4段64號4樓,121.53419,25.014576,健身房,http://www.curves.com.tw/index.asp,針對女性的30分鍾小型健身房，面積52坪。使用人數約20-40人。,櫃檯後方,121.53419,25.014576,CURVES4樓店內櫃檯後方,"星期一至星期五 15:00 至 21:00
                星期六 10:00 至 13:00
                星期日  至 
                備註:開放時間為店內營業時間",02-23681100,2015-01-30 00:06:00.0
文山區茶展中心步道旁茶展中心,台北市文山區指南路3段40巷8號之2,121.595254,24.968532,文化園區,,,茶展中心展覽室右門口之樓梯間內,121.594437,24.969175,文山區茶展中心展覽室右門口之樓梯間內,"星期一至星期五 10:00 至 16:00
                星期六 10:00 至 16:00
                星期日 10:00 至 16:00
                備註:",02-22340568,2014-05-23 11:37:00.0
南元花園休閒農場,台南市柳營區南湖25號,120.378372,23.240423,農場,,,旅館部,120.378372,23.240423,旅館部大門口旁,"星期一至星期五 08:00 至 22:00
                星期六 08:00 至 22:00
                星期日 08:00 至 22:00
                備註:",(06)6990726,2014-07-08 12:22:00.0
